Company Name,First Name,Last Name,Title,Person Linkedin Url,tag
The Outlaw Report,LJ,Dawson,Editor in Chief,http://www.linkedin.com/in/lj-dawson,marketing_content_partnership
Herb,Matt,Gray,Founder & CEO,http://www.linkedin.com/in/mattgray1,marketing_content_partnership
Marijuana Moment,Tom,Angell,Publisher and Editor,http://www.linkedin.com/in/tomangellmedia,marketing_content_partnership
Tricycle Day,Henry,Winslow,Founder,http://www.linkedin.com/in/henrywins,marketing_content_partnership
BevNET.com,Ferron,Salniker,Spirits Editor,http://www.linkedin.com/in/ferron-salniker-12b75922a,marketing_content_partnership
Tequila & Spirits Magazine,Jose,Pinedo,Publisher,http://www.linkedin.com/in/jose-pinedo-015b31b0,marketing_content_partnership
Herbage Magazine,James,Bridges,Owner/Publisher,http://www.linkedin.com/in/james-bridges-86730711,marketing_content_partnership
Cannabis Now,Eugenio,Garcia,CEO & Founder,http://www.linkedin.com/in/eugeniopgarcia,marketing_content_partnership
Ounce Magazine,Corey,Hunt,Co-Founder,http://www.linkedin.com/in/corey-hunt-3298738a,marketing_content_partnership
Grow House Media,Patrick,Pope,Co-Founder & Chief Creative Officer,http://www.linkedin.com/in/growhousemedia,marketing_content_partnership
Leaf Magazines,Jackie,Bryant,Editor,http://www.linkedin.com/in/jacquelineannebryant,marketing_content_partnership
MJBiz,Chris,Roberts,Executive Editor,http://www.linkedin.com/in/chris-roberts-147b816,marketing_content_partnership
The Medical Letter,Corinne,Morrison,Associate Editor,http://www.linkedin.com/in/corinne-morrison-5ab26074,marketing_content_partnership
High at 9 News,Jason,Beck,Host of High At 9 News,http://www.linkedin.com/in/jasonbeck420,marketing_content_partnership
Coming Soon!,Eric,Lord,Founding Member of a new Start-Up,http://www.linkedin.com/in/eric-lord-86a32433,marketing_content_partnership
The Other Magazine,Peter,Shafran,Publisher,http://www.linkedin.com/in/peter-shafran-902a53321,marketing_content_partnership
She Blaze Podcast,Dasheeda,Dawson,Podcast Host,http://www.linkedin.com/in/dasheedadawson,marketing_content_partnership
Psychedelic Pathways Magazine,Strider,Peterson,Publisher,http://www.linkedin.com/in/petersonjohnc,marketing_content_partnership
Wine & Spirits Daily,Sarah,Barrett,Managing Editor,http://www.linkedin.com/in/sarah-barrett-b5401aa7,marketing_content_partnership
Cannabis & Tech Today,Andrew,Behringer,Director of Strategic Partnerships,http://www.linkedin.com/in/andrew-behringer-27891647,marketing_content_partnership
Coming Soon!,Lisa,Selan,Editor In Chief,http://www.linkedin.com/in/lisa-selan-5b084933,marketing_content_partnership
Leaf Magazines,Amanda,Lopez,Content Director,http://www.linkedin.com/in/amanda-lopez-7703661a7,marketing_content_partnership
Leafly,Morgan,Rosendale,Branded Content Editor,http://www.linkedin.com/in/morgan-rosendale-83b0a2230,marketing_content_partnership
Cannabis Observer,Gregory,Foster,Founder + Citizen Observer,http://www.linkedin.com/in/gregoryfoster,marketing_content_partnership
CannaConnect,Natalie,Campion,Communications Partner,http://www.linkedin.com/in/nataliecampion,marketing_content_partnership
Full Pour,Alexander,Peartree,Writer & Editor,http://www.linkedin.com/in/alexander-peartree-61a25b47,marketing_content_partnership
Physician's Weekly,Chris,Cole,Associate Editor,http://www.linkedin.com/in/chris-cole-9155467,marketing_content_partnership
Montana Cannabis Magazine,Allie,Bonthius,Founder,http://www.linkedin.com/in/allie-bonthius-1173441b5,marketing_content_partnership
Heady NJ,Dan,Ulloa,Editor & Publisher,http://www.linkedin.com/in/danulloa,marketing_content_partnership
Decoding Bio,Pablo,Lubroth,Co-Founder & Director,http://www.linkedin.com/in/pablolubroth,marketing_content_partnership
Cannabis Wire,Nushin,Rashidian,Co-founder,http://www.linkedin.com/in/nushinrashidian,marketing_content_partnership
Cannabis Business Times,Tony,Lange,Editor,http://www.linkedin.com/in/tony-lange,marketing_content_partnership
Cannabis Vape Reviews,Jesse,Brownstein,Founder & Owner,http://www.linkedin.com/in/jessebrownstein,marketing_content_partnership
The Medical Letter,Susie,Wong,Director of Content Operations,http://www.linkedin.com/in/susie-wong-5189b72a,marketing_content_partnership
mg Magazine,Christopher,Jones,Senior Editor,http://www.linkedin.com/in/christopher-jones-101a895b,marketing_content_partnership
Broccoli,Anja,Charbonneau,Editor in Chief & Creative Director,http://www.linkedin.com/in/anja-charbonneau-20713785,marketing_content_partnership
HIGH TIMES,Kyle,Rosner,Director of Partnerships,http://www.linkedin.com/in/kyle-rosner-6989a385,marketing_content_partnership
The CannaDiva,Tanya,Osborne,Founder,http://www.linkedin.com/in/tanyaosborne,marketing_content_partnership
The Medical Letter,Jean-Marie,Pflomm,Editor in Chief,http://www.linkedin.com/in/jean-marie-pflomm-20671945,marketing_content_partnership
TNMNews.com,Christine,Sclafani,Culture Host,http://www.linkedin.com/in/christinesclafani,marketing_content_partnership
BevNET.com,Monica,Watrous,Managing Editor,http://www.linkedin.com/in/monica-watrous-9929501a,marketing_content_partnership
Food and Beverage Magazine,Lauren,Kane,"Director, Editor-in-Chief",http://www.linkedin.com/in/laurenpkane,marketing_content_partnership
Leaf Magazines,Kayl,Wohl,Copy Editor,http://www.linkedin.com/in/kayl-wohl,marketing_content_partnership
PharmaBoardroom,Joseph,Kun,Regional Editor: North America and Northern Europe Lead,http://www.linkedin.com/in/josephkun,marketing_content_partnership
Cannabis Business Times,Eric,Sandy,Digital Editor,http://www.linkedin.com/in/ericsandy,marketing_content_partnership
Cannabis United,Alex,Thomas,Director of Creative Partnerships,http://www.linkedin.com/in/alexandermichaelthomas,marketing_content_partnership
Vaping360.com,Jim,McDonald,News Editor,http://www.linkedin.com/in/jim-mcdonald-646842145,marketing_content_partnership
The Morning Blunt,Amber,Wagner,Editor In Chief,http://www.linkedin.com/in/amber-wagner-ba4411122,marketing_content_partnership
BevNET.com,Ryan,Galang,Video Editor,http://www.linkedin.com/in/ryan-galang-145153a0,marketing_content_partnership
CannaCribs,Nate,Lipton,"Co-Founder, Host",http://www.linkedin.com/in/nate-lipton-953a5b1a,marketing_content_partnership
The 3050 Company,Trevor,Baruh,Founder,http://www.linkedin.com/in/trevorbaruh,marketing_content_partnership
904 Happy Hour,Charles,Wagoner,Founder & President,http://www.linkedin.com/in/charles-wagoner-jr-26aa6a43,marketing_content_partnership
WeedWeek,Alex,Halperin,Editor and Publisher,http://www.linkedin.com/in/alexhalperin,marketing_content_partnership
TNMNews.com,Todd,Denkin,President | Host | Founder,http://www.linkedin.com/in/todddenkin,marketing_content_partnership
The Bluntness Inc.,Harrison,Wise,Founder and Publisher,http://www.linkedin.com/in/harrisongwise,marketing_content_partnership
Cannabis Capital: The Podcast,Ross,O'Brien,Host,http://www.linkedin.com/in/rossobrien,marketing_content_partnership
BevNET.com,Jeff,Klineman,Editor In Chief,http://www.linkedin.com/in/jklineman,marketing_content_partnership
The Cannabis Community,Amna,Shamim,Director of Content Marketing,http://www.linkedin.com/in/amna-shamim,marketing_content_partnership
Ganjapreneur,Graham,Abbott,Chief Editor,http://www.linkedin.com/in/grahamabbottganjapreneur,marketing_content_partnership
