"contactId","warmOppCount","soOppCount","warmOppIds","soOppIds","company"
"A5WtRkDPtbvusoPnq2An","1","1","As9pzlVESD3qNAidiw6y","RWc4AMrmAu8kbvFVNVJH","Verdi Cannabis - New York"
"bF5hFkqAI66yIC1Etrvy","1","1","8ybTC5qDoSnCbpvDr58J","zjCEwYUXMW2Ckwyt5ZgN","Capitol Wellness Solutions"
"jWsVJ5FFAeO8aE2otRhd","1","1","epADbTtNu1DHDGuIcYTA","RTVlkgmcIVI1OsjOXZi4","princelobel.com"
"SAtytSLABEbcclRPUg3T","1","1","IFzhue6fTvmov4PVxPcg","nBJgWA3saRDZMloKwyy4","Ascend Cannabis Co."
"56FtrK4tAzsoRThs5I2h","1","1","0XXYDHYCSoITab3xbGy3","wljRIMG2ZmR4MArKSRZi","Canopy USA"
"zVcegXnjmREkNeQPpQ8y","1","1","ExfJ276wDMOVkz75tX1Y","5RHFszRFqPQL3rPDKwCq","Gold Flora Corporation"
"cdV61t19h3tiW07NtcVQ","1","1","VvDc028CKXvd9pKDBPjf","P3dyaTJpSEgXZTtRHwhv","Jushi Holdings Inc."
"EqLCE5EflLzzZdWNkqrN","1","1","uRjeSK15bH6237KOxKbf","d3QCL7hIQzvVWJoctr92","Kiva"
"OBFgqVonwm6CifiRD7ti","1","1","oBVqn2MKTgnAQo2YdvH0","aOC71w9fbaeCa619dlf1","Canopy USA"
"3BvKMbmnxKkTJIQZvoR5","1","1","qQ4VKpV3P9LTzbW1jVmg","qFDZVFDTcRXKT02zjE50","Sweet Dirt"
"BnAiciJNWLTDFGwvdp73","1","1","EV2xw5s0rwCP8buwJTrU","fzBvpZC1k5j2jSON1KhN","The Fire Station"
"SUTOok7toR9bToy31JVT","1","1","InfZGgKR8KqPDfp9Gsui","cbeCstAJAzAkUq2tencV",""
"stTUBYaInoSuypZWpjE6","1","1","Dy1RyPXqewSlEJtBq56i","HiHoHuqjOzFXgV6o7SIz","Illicit Gardens"
"qzGKoboxMMcYjnMJIRPc","1","1","08xGOVJVGbe3iPn4CdAU","ofEGs38GJDKdplzjdCZs","Truro Cannabis"
"QHVOaI3dZxdqAjsrtEKX","1","1","lA46Ur0wHUxWISF6ckpU","99FQpRnbP8a0Ymnozdqb","Cresco Labs"
"EdJXsfcaptXDSxLcHB5L","1","1","r3iwelZtoiXjTSfESO3U","nzJRQADYldU5pKELJhU4","Good Lyfe Farms"
"GijQnyRVbsJBgHcfLw1E","1","1","JvWE50kYppypZA2LFgIl","Jah5kpZZCmhdm21cDAVC","Columbia Care"
"qIuZmQbj8MEtn9ibQJiw","1","1","sGAH7RUPykVYOsfHNE0q","3ByWWS6Q3ITJzmaa0gWZ","CARO Analytical Services Ltd."
"6Mr8KPHZRrmUAcWwB9Rp","1","1","LCHyI1rVKobc8OKACEBF","Y53ECzjI3WVfDgZkrJit","High Profile of St. Louis Dispensary"
"5S3rDQgMnGULxWVCHvDA","1","1","myYbv22vDMo8ihX5EYTY","C2XXxgB0PEhG2glygamN","Texas Original"
"odDA84O87JIyx9AP4hB0","1","1","rRxjsEAZkTZPhPuikdqo","uwnMQMg7zdLv5ZGHJfgq","GreenLabs"
"TqsS4DalsCWYD1RBEq3U","1","1","6zmpYb6cd2QuMcmgDy4K","x2FQePCzl9noHEYQvurD","Federal Equipment Company"
"rgy9tOoW1qLv7Nhnnkgv","1","1","b0OMi23qx7o4EHVJOpvJ","zx0S2sqaKPBeCSipjVvt","OCS Ontario Cannabis Store"
"w8uaUKVfJC4IvOTJiSG9","1","1","5xWN0qgoC6wlVPkO0tSD","KSrpyR64KtdBQWTWXfDy","Aeriz"
"vZUp3F3KS8UC5bGld7rN","1","1","x4RciE3EpS6s9CcoeM3M","jGvAjiNPIyu7P4LHZSuj","The Green Door"
"MP6cjzRRofZevuqMUjtN","1","1","9uDfvciyFugfiU0jp3aV","S8MIdNFMZcQCcfYwPghA","Vertosa, Inc. "
"uR9rK1KgRGpLYy4Pc6k7","1","1","wzOWLsfnFdF67b0OZvMm","aCGF5FEr7LMG9TaP195o","Codes Dispensary"
