"id","name","fieldKey","dataType","placeholder","position"
"036gD9ds9P5V8VUHnFBP","Corporate Phone","contact.corporate_phone","TEXT","","4250"
"15oRMShGogK0LnwicFTc","UTM Landing Page Last","contact.utm_landing_page_last","TEXT","","1800"
"1btAq4uTc51hfbNkT3Ql","Batch_Upload","contact.batch_upload","TEXT","","4100"
"2BJCjWu96VkFXlcb2SFP","UTM Landing Page First","contact.utm_landing_page_first","TEXT","","1750"
"2pry8UETsoDBHJ7f3QRc","Warm Trigger Type","contact.warm_trigger_type","SINGLE_OPTIONS","","150"
"35pbyGZTqIBEExi4WpHa","Apollo Primary Email Last Verified At","contact.apollo_primary_email_last_verified_at","DATE","","2550"
"3XhbeFiYESQor0GJZSFT","Warm Date","contact.warm_date","DATE","","200"
"5VRDKbOrLyy5aPOXcHKn","Email Campaign","contact.email_campaign","TEXT","","50"
"6wOVVBJLe07snU0MXfZf","Enrich via Apollo","contact.enrich_via_apollo","TEXT","No|Yes","4500"
"9d6QDBSA9EysKJgaenPR","Contact already Enriched","contact.contact_already_enriched","TEXT","No|Yes","4550"
"9wRews3knMzLhAtqvQog","UTM Content Last","contact.utm_content_last","TEXT","","1650"
"A2u1LVnyoepcQsWEzZI7","Apollo Primary Email Source","contact.apollo_primary_email_source","TEXT","","2350"
"Au0NkaEwrV1Eh8buCyq1","Apollo Latest Funding Amount","contact.apollo_latest_funding_amount","NUMERICAL","","3300"
"BK7Z1stS6UWpXoedvrZH","Apollo Primary Email Verification Source","contact.apollo_primary_email_verification_source","TEXT","","2400"
"BRfWkxNqF2ZsVQroZrdN","Your Message","contact.your_message","LARGE_TEXT","Your Message","350"
"CbaV94liZJ9ODWJiKBTc","Apollo Secondary Intent Topic","contact.apollo_secondary_intent_topic","TEXT","","3950"
"CpldHGHBZdMdVlOLnrkb","Lists","contact.lists","TEXT","","4300"
"FQv9wyl2JrMkpf1GPprP","LT Last Routing Reason","contact.lt_last_routing_reason","TEXT","","1850"
"FZSDSqouSLsMn5ca4AwT","Apollo Facebook URL","contact.apollo_facebook_url","TEXT","","3000"
"H0OK2ddOx2jNQ12ppWfB","Company Name for Emails","contact.company_name_for_emails","TEXT","","4200"
"IPzJpFLekz9TDi4nWBaV","LT Last Routing Channel","contact.lt_last_routing_channel","TEXT","","1900"
"ITv2PYQ75kzKLfOCFhuO","LT Last Event At","contact.lt_last_event_at","DATE","","2150"
"IUQRaxhOZQT8tiPZKL1z","UTM Campaign Last","contact.utm_campaign_last","TEXT","","1600"
"JAsKQxJg4CO0cGgL0WRK","Apollo Primary Email Catch-all Status","contact.apollo_primary_email_catchall_status","TEXT","","2500"
"JrqZ4CCuFbpmo9lJr9jo","Apollo Primary Intent Topic","contact.apollo_primary_intent_topic","TEXT","","3850"
"LUmIhYKkYa1VlThlO840","Email Variant","contact.email_variant","TEXT","","150"
"Mca5PEjjPAAbl4WwC3WK","Apollo Secondary Email","contact.apollo_secondary_email","TEXT","","3450"
"Nhq37Y30HNlfFseHQrkv","Last Marketing Email","contact.last_marketing_email","TEXT","","4450"
"OdhaEWKDJQJ0zuMZMCoH","Apollo Account Id","contact.apollo_account_id","TEXT","","2250"
"PBKxb2Yc0xAK95XVRP5c","Apollo Total Funding","contact.apollo_total_funding","NUMERICAL","","3200"
"QAlVbSZal3zpqoVqKiV1","Apollo Secondary Email Source","contact.apollo_secondary_email_source","TEXT","","3500"
"QVCvbrjWYeTadYc2FWVl","Apollo Email Status","contact.apollo_email_status","TEXT","","2300"
"RKyRrCsg8xsicTUyyH78","UTM Campaign First","contact.utm_campaign_first","TEXT","","1350"
"RqbOSnzmXwsK37mwWGng","Apollo Contact Id","contact.apollo_contact_id","TEXT","","2200"
"TRAcGPui3RwLhPtnHuBw","Apollo Last Raised At","contact.apollo_last_raised_at","DATE","","3350"
"U8juCocGikKQpms8bpkQ","Apollo Sub Departments","contact.apollo_sub_departments","TEXT","","2700"
"VK4hZ1aux9M60HcbPvtI","Apollo Tertiary Email Status","contact.apollo_tertiary_email_status","TEXT","","3750"
"VPpZ1O2mt8vvx3gPEeyA","Apollo Qualify Contact","contact.apollo_qualify_contact","TEXT","","4050"
"WWz0x6n5PFTmQOcTF7sc","Apollo Secondary Intent Score","contact.apollo_secondary_intent_score","NUMERICAL","","4000"
"WfVaenLFoODEOJg5fi5e","Apollo Departments","contact.apollo_departments","TEXT","","2650"
"WsfJa98NxTuXV9lKIL05","UTM Medium Last","contact.utm_medium_last","TEXT","","1550"
"WulRu4QdE48o2d7gjXNw","UTM Medium First","contact.utm_medium_first","TEXT","","1300"
"X8gW33Z887h3PbjcghW0","UTM Term First","contact.utm_term_first","TEXT","","1450"
"YNlWu5FRGk0PhepqD0Zo","Company Phone","contact.company_phone","TEXT","","4350"
"Zy6tr10M3jCyspLOSh5g","Apollo Technologies","contact.apollo_technologies","TEXT","","3100"
"aJ3LMhy5fZzh10WoykZ6","LT Last Routed At","contact.lt_last_routed_at","DATE","","1950"
"cq3uFB6ewLxhWzJ4pjxN","Apollo Primary Intent Score","contact.apollo_primary_intent_score","NUMERICAL","","3900"
"dPX3SoyLePXCje9K0ndL","UTM Term Last","contact.utm_term_last","TEXT","","1700"
"deFXEelYnFQ2aKgLelYa","Apollo Email Confidence","contact.apollo_email_confidence","NUMERICAL","","2450"
"e2OsKzZCf4On2vKPnNrz","Primary Engagement Channel","contact.primary_engagement_channel","SINGLE_OPTIONS","","250"
"gyl1RJsHTRNNeAUd098j","Apollo Annual Revenue","contact.apollo_annual_revenue","NUMERICAL","","3150"
"h7AEoiSE81GCNxI7dlTS","Lead Temperature","contact.lead_temperature","SINGLE_OPTIONS","","50"
"hhIwD9W4cGWvW6YqPy8C","Apollo Keywords","contact.apollo_keywords","TEXT","","2850"
"ixsqR8e2HPPvt00S8eYP","LT Last Event Fingerprint","contact.lt_last_event_fingerprint","TEXT","","2100"
"jE6P7IRuB6usZDFOMxrg","Apollo Person LinkedIn URL","contact.apollo_person_linkedin_url","TEXT","","2900"
"jT4bFUSUdUMZGWyLfNy1","Last Marketing Email Sent At","contact.last_marketing_email_sent_at","DATE","","200"
"kfbw1EHrW0DabnUoQMKU","Apollo Industry","contact.apollo_industry","TEXT","","2800"
"lYTe9zoZyDkob6crtVnz","Apollo Twitter URL","contact.apollo_twitter_url","TEXT","","3050"
"n1stw8MzD4jDOsSh1BR9","Apollo Seniority","contact.apollo_seniority","TEXT","","2600"
"nj0WCfINbaXqdoy39icF","Apollo Latest Funding","contact.apollo_latest_funding","TEXT","","3250"
"o5RwCwvYqAMciL73Dln5","LT Route Lock Until","contact.lt_route_lock_until","DATE","","2000"
"ocuVbpOOwczvq00XL7xL","LT Routing Priority","contact.lt_routing_priority","NUMERICAL","","2050"
"olS5L76mtvyGUUwosjPj","Warm Source","contact.warm_source","SINGLE_OPTIONS","","100"
"p0X1vD2jDj5AZjXJ6Bcg","UTM Source Last","contact.utm_source_last","TEXT","","1500"
"qcvBurXYEDbGChKmTuJi","Apollo Subsidiary Of","contact.apollo_subsidiary_of","TEXT","","3400"
"rHopakQWppoQkfWUrpH3","How can we help","contact.how_can_we_help","LARGE_TEXT","How can we help?","350"
"rP5TajucfOCedcuEioYF","Apollo Tertiary Email","contact.apollo_tertiary_email","TEXT","","3650"
"t5yZ0UGubzs1X0olHyhy","UTM Source First","contact.utm_source_first","TEXT","","1250"
"tT5AzmfZ963SZ4MOn2p5","Apollo Tertiary Email Verification Source","contact.apollo_tertiary_email_verification_source","TEXT","","3800"
"vmSS5Zm7NydhHIkLpY75","Apollo Secondary Email Status","contact.apollo_secondary_email_status","TEXT","","3550"
"vxpy3EklSPrWl6Y9FeQh","Title","contact.title","TEXT","","4150"
"wAswPE1JUIzt01Ib8l6J","Apollo Tertiary Email Source","contact.apollo_tertiary_email_source","TEXT","","3700"
"worWkWyU3DM28hIwxELT","Apollo Company Employees","contact.apollo_company_employees","NUMERICAL","","2750"
"x91cRDiAB8QwsLcIZbeJ","Apollo Company LinkedIn URL","contact.apollo_company_linkedin_url","TEXT","","2950"
"xsd3aMJhXP1dihVO08NW","Apollo Secondary Email Verification Source","contact.apollo_secondary_email_verification_source","TEXT","","3600"
"zMvJ3fmKxX3ilfq6WotA","UTM Content First","contact.utm_content_first","TEXT","","1400"
